Ticker|C|Name|Symbol|EPS|PE|Yield|% Chg|Change|Price|Ask|Bid|Trd Sz|Ask Sz|Bid Sz|Close|52 Week Range|52 High|High|Low|52 Low|Open|Call/Put|Imp Vol|Mark|Exch|Mkt Val|Market Cap|Shr Os|Volume|AVG Volume 6 Month|Blk Vol|Opn Int|Day % P/L|Day P/L|% P/L|P/L|Book Cost|Avg Cost|Entry Date|Quantity|Trade|Trend|Opn Int Chg|Curr|Q|Div|Div Pay Dt|Ex-Div|Exp Dt|Num Trd|Prc Tck|Quote Trend|Range|Rel Range|Strike
A|CA|ARMOR MINERALS|A.V|0.00|0.00|0.00|21.88|0.14|0.78|0.80|0.62|500.00|9.00|3.00|0.64|0.66|0.97|0.80|0.60|0.32|0.60|-||0.71|   ||47.96|"74|943|371.00"|"12|075.00"|"1|972.53"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/29/2014|09/29/2014|-|13.00|þ||0.20||
AAV|CA|ADVNTG OIL & GAS|AAV.TO|-1.66|0.00|0.00|17.32|0.31|2.10|2.11|2.08|100.00|157.00|4.00|1.79|1.74|2.72|2.11|1.83|0.98|1.83|-||2.09|TOR||335.76|"188|112|797.00"|"3|198|490.00"|"803|508.20"|"497|600.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|03/16/2009|02/25/2009|-|"3|909.00"|þ||0.28||
ABX|CA|BARRICK GOLD|ABX.TO|2.27|13.25|1.52|-0.27|-0.08|29.95|30.00|29.95|"1|000.00"|20.00|1.00|30.03|23.57|41.09|30.20|29.57|17.52|30.10|-||29.98|TOR||"53|395.38"|"1|778|126|000.00"|"4|522|121.00"|"4|724|810.39"|"768|800.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.46|12/15/2020|11/27/2020|-|"13|784.00"|Þ||0.63||
AC|CA|AIR CANADA|AC.TO|0.00|0.00|0.00|3.31|0.74|23.13|23.20|23.13|700.00|14.00|4.00|22.39|43.45|52.71|23.24|22.26|9.26|22.51|-||23.16|TOR||"7|437.34"|"332|171|985.00"|"3|645|423.00"|"5|158|925.43"|"241|500.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|-|-|-|"16|614.00"|þ||0.98||
ACB|CA|AURORA CANNABIS|ACB.TO|-34.94|0.00|0.00|0.68|0.09|13.41|13.45|13.40|"2|000.00"|62.00|7.00|13.32|31.31|36.24|13.76|13.02|4.93|13.40|-||13.43|TOR||"1|881.89"|"141|282|931.00"|"5|143|985.00"|"4|496|968.82"|"584|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.00|05/11/2020|05/11/2020|-|"17|872.00"|þ||0.74||
AEM|CA|AGNICO EAGLE MIN|AEM.TO|3.52|25.20|2.10|0.87|0.77|89.41|89.69|89.09|500.00|10.00|5.00|88.64|74.10|117.35|89.63|87.75|43.25|88.64|-||89.39|TOR||"21|479.36"|"242|991|213.00"|"541|521.00"|"718|598.56"|"43|000.00"||-|-|-|-|-|-|-|-|-|||CAD|R|1.86|03/22/2021|02/26/2021|-|"3|642.00"|þ||1.88||
AGI|CA|ALAMOS GOLD|AGI.TO|0.35|30.54|0.95|-1.2|-0.13|10.70|10.73|10.65|100.00|8.00|11.00|10.83|11.09|15.52|10.83|10.51|4.43|10.80|-||10.69|TOR||"4|286.78"|"392|697|670.00"|"801|841.00"|"993|854.76"|"52|400.00"||-|-|-|-|-|-|-|-|-|||CAD|R|0.10|12/21/2020|12/04/2020|-|"3|413.00"|þ||0.32||
AHR|CA|AMARC RSC|AHR.V|-0.01|0.00|0.00|-0.0|-0.0|0.07|0.07|0.07|"30|000.00"|72.00|60.00|0.07|0.09|0.10|0.07|0.07|0.01|0.07|-||0.07|   ||13.55|"180|602|894.00"|"30|000.00"|"80|089.26"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|01/30/1996|-|-|1.00| ||0.00||
AL|CA|ALX RESOURCES CO|AL.V|-0.01|0.00|0.00|-5.88|-0.005|0.08|0.08|0.07|"2|000.00"|24.00|84.00|0.09|0.09|0.10|0.09|0.08|0.01|0.09|-||0.08|   ||12.16|"151|940|778.00"|"159|500.00"|"186|258.78"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|09/25/2015|09/25/2015|-|11.00|þ||0.01||
ALT|CA|ALTURAS MINERALS|ALT.V|0.03|0.92|0.00|-16.67|-0.005|0.03|0.03|0.02|"28|000.00"|11.00|542.00|0.03|0.02|0.03|0.03|0.02|0.01|0.02|-||0.03|   ||4.35|"144|882|143.00"|"128|000.00"|"52|616.84"|0.00||-|-|-|-|-|-|-|-|-|||CAD|D|0.00|04/10/2006|04/10/2006|-|3.00|Þ||0.01||
